"DATE","GDP","FX","CPI","POL","OIL","UNEMP"
1993.25,0.0059289734700414,0.00765740566940654,-0.00523086709619314,-0.0177109823088832,3,7.0666666666667
1993.5,0.00486478097722554,0.00392198587590897,-0.00787178674928413,-0.0217060467744865,3.1,6.8
1993.75,0.0132611975814036,0.00688408638135929,0.00265993506046502,-0.0161947404943197,3,6.6333333333333
1994,0.00975666271998676,0.00638243184954401,-0.0153569673449034,0.0465211080390899,3.3,6.5666666666667
1994.25,0.0135744440033783,0.00634210232058141,-0.0100751394373839,-0.0203373878452933,4.3,6.2
1994.5,0.00587972889562849,0.00876693134175888,-0.00212426799243826,-0.0113842226098217,4.7,6
1994.75,0.0112908385704031,0.00468909069323331,-0.000826944574963129,-0.0181424311367255,5.5,5.6333333333333
1995,0.00341222083705972,0.00820865663649428,0.00127771718928216,-0.0103515558401384,6,5.4666666666667
1995.25,0.00348795444910976,0.0087989273307949,-0.00383512202159508,-0.0291692746572734,6,5.6666666666667
1995.5,0.00852402502889404,0.00437074267086146,-0.0142836676913021,-0.00979615254397004,5.8,5.6666666666667
1995.75,0.00707410820571042,0.00478565612020532,-0.00918952328493816,0.00497264677451614,5.6,5.5666666666667
1996,0.00653857937517088,0.00907331928614674,0.0064422196223104,0.0017662989838616,5.3,5.5333333333333
1996.25,0.0173093117648655,0.00984379486282183,-0.00985447591388855,-0.00234967939961628,5.3,5.5
1996.5,0.00920769193912463,0.00530961899674143,0.0055542741415735,0.00200161922353459,5.3,5.2666666666667
1996.75,0.0105102406317883,0.00717611845588095,-0.00613585963241636,0.00563095937301039,5.3,5.3333333333333
1997,0.00759290594772466,0.00670718541518767,-0.00233275682840439,0.00840833761902271,5.4,5.2333333333333
1997.25,0.0149731360331735,0.0039612821799988,0.00529651703096956,0.000518047916649778,5.6,5
1997.5,0.0126527804157419,0.0039455167388871,0.00599008182851346,0.0132733167843968,5.5,4.8666666666667
1997.75,0.00772948043371358,0.00393001079547339,-0.00930919822403098,0.0298250078144155,5.5,4.6666666666667
1998,0.00984555193996428,0.00268018955607818,0.001910189512496,0.0321476414220143,5.5,4.6333333333333
1998.25,0.00965184979132871,0.00533892465376784,-0.0126463057543234,-0.00293049070510598,5.6,4.4
1998.5,0.0129971745259851,0.00388342058016811,-0.0365403325097358,0.0207764120284422,5.5,4.5333333333333
1998.75,0.0162820416396556,0.0034619371408029,-0.0127053149000851,-0.014134938652747,4.7,4.4333333333333
1999,0.00795329467895201,0.00385518716128797,-0.0242062661470097,0.0223573283445653,4.8,4.3
1999.25,0.0082132650216451,0.00967361840984893,-0.0137723749486049,0.0104772739732759,4.8,4.2666666666667
1999.5,0.0125066846637196,0.00619821926713815,0.00513497009606567,0.00164332955542523,5.2,4.2333333333333
1999.75,0.0172092529617061,0.0061599082909467,0.00868888211301844,-0.00141164786841941,5.3,4.0666666666667
2000,0.0028975286120243,0.00985616251456101,-0.0147170754376145,0.00635978245239421,5.9,4.0333333333333
2000.25,0.0187115517211893,0.010536709298826,-0.000369076301820925,0.0188231607129268,6.5,3.9333333333333
2000.5,0.00120205381049132,0.00792655378539653,0.000842450669771289,0.00890689643108189,6.5,4
2000.75,0.00566790462850975,0.00537744484283831,-0.00490907302717236,0.0163457599660823,6.4,3.9
2001,-0.00284765343718263,0.00953100134353324,-0.00213350401819667,0.0013436209876927,5.3,4.2333333333333
2001.25,0.0052868384065583,0.0103804573742421,0.000779496922880263,0.0222548670380043,4,4.4
2001.5,-0.0031675638962021,0.00131348844652557,0.000430308235865873,-0.00100343391561353,3.1,4.8333333333333
2001.75,0.00277142879714987,-0.00281664583270391,0.00464669102183279,0.000682278605849795,1.8,5.5
2002,0.00916577771389981,0.0035663317207506,0.00362496032284376,0.00579626749912698,1.7,5.7
2002.25,0.0055021165231075,0.010808969448771,-0.000703979062692817,-0.00722848980886148,1.8,5.8333333333333
2002.5,0.0048564880214812,0.00425411534421727,-0.0198044904494363,-0.00252650928469311,1.8,5.7333333333333
2002.75,0.000636347892413625,0.00313274472047897,-0.0284385226751986,0.00264085646566325,1.2,5.8666666666667
2003,0.00516658368690059,0.0100688003908971,0.0309748502708223,-0.025536478887509,1.3,5.8666666666667
2003.25,0.00923650217013972,0.00363633715155576,-0.0186458723150631,-0.0296373710916873,1.2,6.1333333333333
2003.5,0.0166090604559486,0.00488822702651071,0.000754983703737722,0.000351952901155528,1,6.1333333333333
2003.75,0.0116244281779849,0.000180626737464884,-0.00952200181495222,-0.0223932842280989,1,5.8333333333333
2004,0.00573418723283226,0.00898799981951459,-0.00590867034317633,-0.0176977801399154,1,5.7
2004.25,0.00730343311646564,0.0142148772117103,-0.0186203807032044,0.012808971575283,1,5.6
2004.5,0.00904829942690455,0.00352234112912164,-0.0136089082050246,-0.00306090551157467,1.6,5.4333333333333
2004.75,0.00860644757646156,0.00595975526951786,0.00124977741817212,-0.0214503302299134,2.2,5.4333333333333
2005,0.0106031566458711,0.00627169943890493,0.0187730163869935,-0.0172822271633075,2.6,5.3
2005.25,0.00520760820703714,0.0132840701606787,-0.00907012563311049,0.00657738992938395,3,5.1
2005.5,0.00836571133566366,0.0120946224237013,-0.0885845132266034,0.00985013860562045,3.6,4.9666666666667
2005.75,0.00569898241210254,0.00506662484198994,-0.0328501521473363,0.00773860212558208,4.2,4.9666666666667
2006,0.0119423027322689,0.00537644389899672,0.0386973780109265,-0.0165942855086261,4.6,4.7333333333333
2006.25,0.00298369534823095,0.0167818815823786,0.0120060706228573,-0.00957594441777943,5,4.6333333333333
